   1.4615909600000001e-03	   4.6612776600000002e-04	   1.3865519999999999e-02	
   2.2576400700000001e-03	   1.2949543099999999e-03	   1.8331146100000001e-02	
   3.2794322200000001e-03	   2.3045299099999999e-03	   2.3708329100000002e-02	
   4.5123022200000001e-03	   3.4903766599999999e-03	   2.9964705899999999e-02	
   5.9497698699999997e-03	   4.8428500000000001e-03	   3.7129669499999997e-02	
   7.5879855000000000e-03	   6.3561362200000001e-03	   4.4973077399999999e-02	
   9.4260439000000001e-03	   8.0218500600000003e-03	   5.2844356100000003e-02	
   1.1465433700000000e-02	   9.8283148599999995e-03	   6.0749638000000002e-02	
   1.3707570600000000e-02	   1.1770591299999999e-02	   6.8666584300000000e-02	
   1.6155756600000001e-02	   1.3840496600000000e-02	   7.6602666000000000e-02	
   1.8815367000000000e-02	   1.6026275300000000e-02	   8.4584489700000001e-02	
   2.1691934000000000e-02	   1.8320125400000001e-02	   9.2610104999999998e-02	
   2.4791781400000001e-02	   2.0714787500000002e-02	   1.0067555500000000e-01	
   2.8122815400000001e-02	   2.3200928400000001e-02	   1.0878695400000001e-01	
   3.1695530399999998e-02	   2.5765116099999999e-02	   1.1696472199999999e-01	
   3.5520446800000001e-02	   2.8397457000000001e-02	   1.2520939600000000e-01	
   3.9608487200000000e-02	   3.1089565199999999e-02	   1.3351508500000001e-01	
   4.3829535000000003e-02	   3.3829988499999998e-02	   1.4188624899999999e-01	
   4.8061639099999998e-02	   3.6606610099999999e-02	   1.5032698899999999e-01	
   5.2320438800000001e-02	   3.9406601999999999e-02	   1.5884102500000000e-01	
   5.6614897800000001e-02	   4.2159892499999997e-02	   1.6744559200000000e-01	
   6.0949392999999998e-02	   4.4794492399999997e-02	   1.7612883400000001e-01	
   6.5330180099999996e-02	   4.7317779599999998e-02	   1.8489150600000001e-01	
   6.9763729600000005e-02	   4.9726466599999998e-02	   1.9373508800000000e-01	
   7.4256515199999998e-02	   5.2016776600000002e-02	   2.0266037400000000e-01	
   7.8815003400000000e-02	   5.4184480100000001e-02	   2.1166735500000000e-01	
   8.3445631300000003e-02	   5.6224936500000003e-02	   2.2075509900000001e-01	
   8.8154773000000006e-02	   5.8133146500000003e-02	   2.2992161100000000e-01	
   9.2948691400000005e-02	   5.9903816700000001e-02	   2.3916366900000000e-01	
   9.7833477000000002e-02	   6.1531441399999998e-02	   2.4847666199999999e-01	
   1.0281497200000000e-01	   6.3010405300000003e-02	   2.5785439999999998e-01	
   1.0789867900000000e-01	   6.4335110200000004e-02	   2.6728893300000001e-01	
   1.1309445100000000e-01	   6.5492035800000001e-02	   2.7678397799999999e-01	
   1.1840503500000001e-01	   6.6479159299999993e-02	   2.8632065600000001e-01	
   1.2383265100000000e-01	   6.7294644900000006e-02	   2.9587943100000003e-01	
   1.2938019200000000e-01	   6.7934926399999998e-02	   3.0544293099999997e-01	
   1.3505332200000000e-01	   6.8391279799999996e-02	   3.1499989000000000e-01	
   1.4085795200000001e-01	   6.8654070999999997e-02	   3.2453764000000002e-01	
   1.4678523399999999e-01	   6.8738232299999993e-02	   3.3401110899999997e-01	
   1.5283921700000000e-01	   6.8636859900000000e-02	   3.4340445000000003e-01	
   1.5901751100000000e-01	   6.8354022500000000e-02	   3.5268802799999999e-01	
   1.6530813100000000e-01	   6.7910868900000004e-02	   3.6181642600000002e-01	
   1.7171303299999999e-01	   6.7305325999999999e-02	   3.7077082700000003e-01	
   1.7821173000000001e-01	   6.6575807299999998e-02	   3.7949716100000003e-01	
   1.8480087700000000e-01	   6.5732438099999999e-02	   3.8797250700000002e-01	
   1.9145974499999999e-01	   6.4818331199999996e-02	   3.9615196899999999e-01	
   1.9817687700000000e-01	   6.3862416599999999e-02	   4.0400895300000000e-01	
   2.0493488200000001e-01	   6.2906619200000000e-02	   4.1151427299999999e-01	
   2.1171806100000001e-01	   6.1991787600000001e-02	   4.1864674099999999e-01	
